Start,Finish,Heart Rate (count/min),Steps (count)
30/3/19 7:00,30/3/19 8:00,0,101
30/3/19 8:00,30/3/19 9:00,0,0
30/3/19 9:00,30/3/19 10:00,0,0
30/3/19 10:00,30/3/19 11:00,0,0
30/3/19 11:00,30/3/19 12:00,0,61
30/3/19 12:00,30/3/19 13:00,0,24
30/3/19 13:00,30/3/19 14:00,0,1.156591804
30/3/19 14:00,30/3/19 15:00,0,383.8434082
30/3/19 15:00,30/3/19 16:00,0,386.4146495
30/3/19 16:00,30/3/19 17:00,0,539.5853505
30/3/19 17:00,30/3/19 18:00,0,138
30/3/19 18:00,30/3/19 19:00,87,373.2563542
30/3/19 19:00,30/3/19 20:00,104,601.8812854
30/3/19 20:00,30/3/19 21:00,106,183.8623604
30/3/19 21:00,30/3/19 22:00,114,506.9567731
30/3/19 22:00,30/3/19 23:00,111,745.9115662
30/3/19 23:00,31/3/19 0:00,90,225.1316607
31/3/19 0:00,31/3/19 1:00,0,0
31/3/19 1:00,31/3/19 2:00,0,0
31/3/19 2:00,31/3/19 3:00,0,0
31/3/19 3:00,31/3/19 4:00,0,0
31/3/19 4:00,31/3/19 5:00,0,0
31/3/19 5:00,31/3/19 6:00,0,0
31/3/19 6:00,31/3/19 7:00,0,0
31/3/19 7:00,31/3/19 8:00,0,0
31/3/19 8:00,31/3/19 9:00,0,380.800802
31/3/19 9:00,31/3/19 10:00,0,670.1255344
31/3/19 10:00,31/3/19 11:00,0,630.0736636
31/3/19 11:00,31/3/19 12:00,0,189
31/3/19 12:00,31/3/19 13:00,0,227
31/3/19 13:00,31/3/19 14:00,0,422
31/3/19 14:00,31/3/19 15:00,0,181
31/3/19 15:00,31/3/19 16:00,0,460
31/3/19 16:00,31/3/19 17:00,0,119
31/3/19 17:00,31/3/19 18:00,0,185
31/3/19 18:00,31/3/19 19:00,0,487.9295601
31/3/19 19:00,31/3/19 20:00,0,123.0704399
31/3/19 20:00,31/3/19 21:00,0,0
31/3/19 21:00,31/3/19 22:00,0,0
31/3/19 22:00,31/3/19 23:00,0,185
31/3/19 23:00,1/4/19 0:00,0,174
