Date,Day,Hour,Minute,Mean Activity (g),Asleep (proportion),Wearing (proportion),Sedentary Activity (proportion),Light Activity (proportion),Moderate Activity (proportion),Vigorous Activity (proportion),Steps (average per min)
2018-03-12T00:00:00.000Z,0,0,0,0.0034822166819746298,1,0,1,0,0,0,0
2018-03-12T01:00:00.000Z,0,1,60,0.003386950003914535,1,0,1,0,0,0,0
2018-03-12T02:00:00.000Z,0,2,120,0.003436366670454542,1,0,1,0,0,0,0
2018-03-12T03:00:00.000Z,0,3,180,0.003386216676638772,1,0,1,0,0,0,0
2018-03-12T04:00:00.000Z,0,4,240,0.003322716670421262,1,0,1,0,0,0,0
2018-03-12T05:00:00.000Z,0,5,300,0.003226183319929987,1,0.5,1,0,0,0,0
2018-03-12T06:00:00.000Z,0,6,360,0.0030588333300935727,0.8888888888888888,0,1,0,0,0,0
2018-03-12T07:00:00.000Z,0,7,420,0.003022533340845257,1,0,1,0,0,0,0
2018-03-12T08:00:00.000Z,0,8,480,0.00320271667248259,0.9836065573770492,0.5,1,0,0,0,0
2018-03-12T09:00:00.000Z,0,9,540,0.06318333316982414,0.016666666666666666,1,0.6833333333333333,0.08333333333333333,0.2333333333333333,0,24.95
2018-03-12T10:00:00.000Z,0,10,600,0.08162976648503294,0,1,0.55,0.25,0.2,0,32.733333333333334
2018-03-12T11:00:00.000Z,0,11,660,0.0741995496985813,0,1,0.4166666666666667,0.4833333333333333,0.1,0,26.2
2018-03-12T12:00:00.000Z,0,12,720,0.04369908316681782,0,1,0.8833333333333333,0.08333333333333333,0.03333333333333333,0,13.016666666666667
2018-03-12T13:00:00.000Z,0,13,780,0.05187243317098667,0,1,0.85,0.05,0.1,0,16.016666666666666
2018-03-12T14:00:00.000Z,0,14,840,0.03202985013679912,0,1,0.95,0.05,0,0,7.283333333333333
2018-03-12T15:00:00.000Z,0,15,900,0.03052671671224137,0.21311475409836064,1,1,0,0,0,5.266666666666667
2018-03-12T16:00:00.000Z,0,16,960,0.09103851710290958,0,1,0.5166666666666667,0.2333333333333333,0.25,0,38.71666666666667
2018-03-12T17:00:00.000Z,0,17,1020,0.10962203377081702,0,1,0.4666666666666667,0.13333333333333333,0.4,0,48.86666666666667
2018-03-12T18:00:00.000Z,0,18,1080,0.08196958263094227,0,1,0.6333333333333333,0.08333333333333333,0.2833333333333333,0,40.7
2018-03-12T19:00:00.000Z,0,19,1140,0.16070621595717963,0,1,0.31666666666666665,0.1,0.5166666666666667,0.06666666666666667,54.266666666666666
2018-03-12T20:00:00.000Z,0,20,1200,0.1383582841604948,0,1,0.3,0.1833333333333333,0.4666666666666667,0.05,49.71666666666667
2018-03-12T21:00:00.000Z,0,21,1260,0.113243633772557,0,1,0.35,0.16666666666666666,0.4833333333333333,0,37.45
2018-03-12T22:00:00.000Z,0,22,1320,0.033773383195512,0,1,0.9833333333333332,0.016666666666666666,0,0,6.883333333333334
2018-03-12T23:00:00.000Z,0,23,1380,0.011125133093446492,0.9,1,0.9333333333333332,0.03333333333333333,0.03333333333333333,0,2.8833333333333333
2018-03-13T00:00:00.000Z,1,24,1440,0.0027268500144903857,1,0,1,0,0,0,0
2018-03-13T01:00:00.000Z,1,25,1500,0.0027770500164479017,1,0,1,0,0,0,0
2018-03-13T02:00:00.000Z,1,26,1560,0.0027590833293894925,1,0,1,0,0,0,0
2018-03-13T03:00:00.000Z,1,27,1620,0.0027606666708985964,1,0,1,0,0,0,0
2018-03-13T04:00:00.000Z,1,28,1680,0.0027336333296261728,0.21311475409836064,0,1,0,0,0,0
2018-03-13T05:00:00.000Z,1,29,1740,0.002802199982882788,0,0,1,0,0,0,0
2018-03-13T06:00:00.000Z,1,30,1800,0.002806816657539457,0.8387096774193549,0,1,0,0,0,0
2018-03-13T07:00:00.000Z,1,31,1860,0.003063033327149848,0.5645161290322581,1,1,0,0,0,0
2018-03-13T08:00:00.000Z,1,32,1920,0.003932866659791519,0.8888888888888888,1,1,0,0,0,0
2018-03-13T09:00:00.000Z,1,33,1980,0.21481115062488243,0.11666666666666668,1,0.1833333333333333,0.03333333333333333,0.75,0.03333333333333333,75.85
2018-03-13T10:00:00.000Z,1,34,2040,0.07025134978660692,0,1,0.5666666666666667,0.2333333333333333,0.2,0,22.65
2018-03-13T11:00:00.000Z,1,35,2100,0.10275038379865388,0,1,0.38333333333333336,0.2833333333333333,0.3333333333333333,0,34.56666666666667
2018-03-13T12:00:00.000Z,1,36,2160,0.08593441700795665,0,1,0.5166666666666667,0.1833333333333333,0.3,0,30.6
2018-03-13T13:00:00.000Z,1,37,2220,0.05202431692741812,0,1,0.8666666666666667,0.03333333333333333,0.1,0,14.533333333333331
2018-03-13T14:00:00.000Z,1,38,2280,0.049903983223096776,0,1,0.8166666666666667,0.16666666666666666,0.016666666666666666,0,11.283333333333331
2018-03-13T15:00:00.000Z,1,39,2340,0.07588779985283813,0,1,0.65,0.08333333333333333,0.26666666666666666,0,26.73333333333333
2018-03-13T16:00:00.000Z,1,40,2400,0.09824888325917223,0,1,0.55,0.13333333333333333,0.31666666666666665,0,36.03333333333333
2018-03-13T17:00:00.000Z,1,41,2460,0.1876194999553263,0,1,0.16666666666666666,0.1,0.7333333333333333,0,74.9
2018-03-13T18:00:00.000Z,1,42,2520,0.05588581673024843,0.1774193548387097,1,0.7833333333333333,0.05,0.16666666666666666,0,20.7
