hourinweek,Female Mean Activity (g),Male Mean Activity (g),Female Asleep (proportion),Male Asleep (proportion),Female Steps (average per min),Male Steps (average per min),Female Sedentary Activity (proportion),Male Sedentary Activity (proportion),Female Light Activity (proportion),Male Light Activity (proportion),Female Moderate Activity (proportion),Male Moderate Activity (proportion),Female Vigorous Activity (proportion),Male Vigorous Activity (proportion)
15,0.04585761949600583,0.048809576206656685,0.16474510741984943,0.15372918726627685,15.826717547035036,15.772890288309124,0.831643938478124,0.8281767039369404,0.04756071388069395,0.04970581758985564,0.11804193720420432,0.11851122820545772,0.0027534104369777825,0.0036062502677462185
16,0.05856579932173273,0.06364242052811367,0.13719916165127255,0.13408208386889395,20.50026613439786,21.478897849462367,0.7640385894876914,0.7485215053763441,0.06603459747172322,0.06606182795698924,0.16460412508316707,0.17903225806451614,0.005322687957418492,0.006384408602150534
17,0.05754984650940604,0.057989874270231466,0.15110342509445404,0.15035801779414917,19.07807717897538,17.160349462365595,0.7677644710578843,0.7966397849462363,0.06689953426480373,0.05376344086021507,0.15781769793745845,0.1350134408602151,0.007518296739853618,0.014583333333333323
18,0.04622554956795012,0.05251702531292284,0.16338763800142406,0.2031491430227368,15.10961410512309,15.621706989247311,0.8091483699268133,0.8007392473118284,0.07172322022621423,0.06129032258064514,0.11616766467065866,0.12936827956989247,0.0029607451763140366,0.008602150537634403
19,0.04136810823476457,0.04659101122093634,0.1569039709474002,0.1952900183222619,12.627944111776442,13.01505376344086,0.8394876912840986,0.8397849462365591,0.05844976713240187,0.05873655913978495,0.09827012641383896,0.09018817204301072,0.003792415169660676,0.011290322580645154
20,0.035788422873890134,0.04237822170273155,0.155209402469611,0.1639081845487301,10.69241516966068,12.650201612903228,0.8661676646706585,0.8372311827956987,0.053093812375249495,0.053024193548387104,0.07737857618097135,0.10544354838709674,0.003359946773120423,0.004301075268817202
21,0.03303399744708712,0.0390854061501763,0.173753474845456,0.1721580052350278,9.786460412508315,11.490322580645168,0.8802062541583502,0.8541666666666663,0.04880239520958086,0.05168010752688172,0.06773120425815035,0.0891129032258064,0.0032601463739188267,0.005040322580645158
22,0.027721816124020117,0.03053690518275716,0.21904229750810428,0.19766383230880977,8.109347970725215,8.879301075268817,0.901563539587492,0.8881720430107527,0.03988689288090487,0.04368279569892474,0.056753160345974725,0.0676075268817204,0.0017964071856287414,0.0005376344086021505
23,0.01933734404192193,0.022865525358513616,0.3182645478633278,0.3018539061721009,5.423952095808385,5.6114247311827965,0.936892880904857,0.930510752688172,0.02588157019294744,0.0286962365591398,0.03672654690618761,0.03951612903225808,0.0004990019960079841,0.0012768817204301074
24,0.013379624657602934,0.015895316616875606,0.40997487621651774,0.4081814359343503,3.5000332667997327,3.7471102150537634,0.9597139055222887,0.9561155913978492,0.01829673985362608,0.01733870967741935,0.02182302062541584,0.026209677419354857,0.000166333998669328,0.00033602150537634406
25,0.008122330205497588,0.008375879391702248,0.48930988628649685,0.48806223423628087,1.797837658017299,1.7217069892473116,0.9813373253493012,0.982325268817204,0.008216899534264797,0.008602150537634405,0.010113107119095145,0.009005376344086017,0.00033266799733865603,0.00006720430107526882
26,0.005988608426425691,0.005992360490797972,0.5089750417010207,0.5417073120997346,1.0671989354624083,1.0137096774193546,0.9898203592814367,0.9915322580645156,0.004790419161676644,0.003763440860215052,0.005222887558216896,0.004704301075268815,0.000166333998669328,0
27,0.005746922997661301,0.004871806607078453,0.5328861767887747,0.5483582907982534,0.89500998003992,0.723185483870968,0.992248835662009,0.9961021505376338,0.002295409181636725,0.001344086021505376,0.003958749168330004,0.002352150537634408,0.0014970059880239509,0.00020161290322580645
28,0.004547797146357167,0.004538765302177687,0.5380450022310076,0.5320842583833795,0.7038256819693945,0.6238575268817205,0.9939787092481698,0.99630376344086,0.0029607451763140366,0.0015456989247311823,0.002960745176314036,0.0021505376344086013,0.0000998003992015968,0
29,0.005923101817160884,0.005221407036761595,0.4742850904610717,0.5079500487164187,1.1931470392548231,0.8660618279569892,0.9873586161011312,0.993145161290322,0.004990019960079838,0.0034946236559139773,0.007651363938789085,0.0033602150537634387,0,0
30,0.017965378259727608,0.014936849994583652,0.37116319476448006,0.4109549870802278,5.319926813040587,3.953763440860216,0.9209580838323356,0.9448252688172049,0.026280771789753816,0.01969086021505375,0.05163007318695943,0.03508064516129032,0.00113107119095143,0.0004032258064516129
31,0.036755577598714256,0.032132641184393435,0.27883862834268214,0.3064904060440841,11.995442448436464,9.58991935483871,0.8364936793080506,0.8758064516129027,0.04870259481037927,0.0323252688172043,0.11104457751164336,0.08884408602150536,0.00375914836992681,0.0030241935483870954
32,0.04774291285064655,0.04470145309567646,0.198760639092085,0.24844284821407123,16.20984697272122,14.013373655913975,0.7948769128409849,0.8205645161290328,0.05352628077178975,0.04529569892473116,0.14733865602129073,0.13118279569892471,0.004258150365934794,0.002956989247311826
33,0.05746641908118291,0.0571251359786674,0.13497213434452396,0.15906142444101654,20.310574608359044,18.88893741021288,0.7725783643718326,0.7871056369363795,0.04904871424653947,0.04156108093526334,0.17484460464953464,0.165751203762977,0.003528316732093227,0.005582078365380151
34,0.04026720882133155,0.03719578844043922,0.1974413823934573,0.2693982935017639,13.75364532697362,12.032996251673357,0.8538256819693947,0.8728915662650603,0.041117764471057874,0.03259705488621152,0.10345974717232204,0.09190093708166,0.0015968063872255486,0.002610441767068273
35,0.041095894006594094,0.04041937287477863,0.17636378263518873,0.2321404834352635,14.470958083832338,13.114792503346717,0.8466400532268797,0.8607095046854081,0.0427478376580173,0.03647925033467203,0.10931470392548238,0.098995983935743,0.001297405189620758,0.0038152610441767047
36,0.05037429613007692,0.05123464044806808,0.14067968993013483,0.18886817305652268,17.8251497005988,17.417871485943767,0.8037924151696607,0.8100401606425699,0.05166333998669327,0.04832663989290494,0.14264803725881572,0.13862115127175365,0.0018962075848303385,0.003012048192771084
37,0.06161792174964127,0.06530224679952999,0.13058222569739,0.1806884444559095,22.73423433133733,22.21285140562248,0.7330188632835342,0.7373909616962473,0.0633958023347245,0.060313026298743376,0.20118905219863295,0.19687324567085543,0.00239628218310853,0.005422766334153816
38,0.04302472760791557,0.0488919503314776,0.171163256283847,0.20812787703378105,15.11603835978836,15.859705488621149,0.843683862433862,0.8209504685408298,0.04735449735449733,0.050200803212851405,0.10747354497354504,0.1244310575635877,0.0014880952380952378,0.004417670682730921
39,0.044252585690769126,0.04638791474934472,0.16779723158853752,0.20737076535145163,15.228189575222151,15.11643104676772,0.8393482661329255,0.8222073778986918,0.05066313791098561,0.053524042406183886,0.10680868175355213,0.11971299175195406,0.003179914202536821,0.0045555879431705285
40,0.05782823299367376,0.06130146030623078,0.12480679520343636,0.20879614598648,20.150882352941185,18.35028420132142,0.7690522875816994,0.7758442371637086,0.06241830065359474,0.05662434684976463,0.16385620915032686,0.15558605389299135,0.004673202614379083,0.011945362093535423
41,0.05943952356312962,0.05970031203110057,0.15118956426605246,0.214900644833022,19.72669934640523,17.930804601454007,0.7576143790849673,0.7709497845109047,0.0666013071895425,0.05978543598450223,0.16879084967320265,0.1577388337468982,0.006993464052287576,0.011525945757694488
42,0.04966071407649767,0.05183774926831537,0.15396193088194174,0.2208462011454499,15.79029411764706,15.74608636977058,0.79640522875817,0.7928475033738192,0.07088235294117654,0.0659919028340081,0.12866013071895427,0.13272604588394063,0.004052287581699344,0.008434547908232119
43,0.044066915128574045,0.05038684158295411,0.17488076249911594,0.2037640260285376,13.502222222222215,14.243589743589746,0.8279738562091502,0.8068151147098515,0.0598692810457516,0.06187584345479082,0.10627450980392145,0.116059379217274,0.005882352941176466,0.015249662618083668
44,0.03929957087609697,0.03968710166885665,0.17509714662033046,0.1997720507779674,12.03604575163399,11.090620782726043,0.8485947712418301,0.8547908232118763,0.05794117647058819,0.05074224021592444,0.08901960784313721,0.08731443994601888,0.004444444444444442,0.007152496626180836
45,0.03323049000363293,0.0342021048982515,0.18360291965444367,0.2021409698948964,10.060980392156862,9.791363022941972,0.8766666666666666,0.869770580296896,0.05062091503267972,0.04817813765182187,0.07055555555555554,0.08049932523616737,0.0021568627450980382,0.0015519568151147094
46,0.028619249950559356,0.03168590054908069,0.2324383420075086,0.24116825559489816,8.190130718954249,8.840823211875845,0.8973856209150326,0.8849527665317142,0.04163398692810457,0.04062078272604589,0.05964052287581693,0.07159244264507424,0.001339869281045751,0.0028340080971659925
47,0.02091560237328625,0.024431217858005276,0.31296186923066105,0.29890333244286926,6.066633986928104,6.567543859649122,0.925490196078431,0.9202429149797572,0.02996732026143789,0.03130904183535763,0.044248366013071874,0.04757085020242916,0.0002941176470588235,0.00087719298245614
48,0.014338277883594734,0.01602211103236243,0.4147802951330605,0.424737935328743,3.897287581699347,3.7503373819163297,0.9526143790849668,0.9541160593792172,0.020359477124183,0.018623481781376527,0.02656862745098036,0.026855600539811075,0.000457516339869281,0.0004048582995951417
49,0.009050163646765455,0.00995396053157534,0.48941818372295626,0.4910265287882399,2.0744117647058817,2.22962213225371,0.9771568627450972,0.9763832658569505,0.009183006535947709,0.009041835357624834,0.013039215686274495,0.014507422402159242,0.0006209150326797386,0.00006747638326585695
50,0.0061687945161412825,0.007260056512574457,0.5394642176364247,0.5243337610643927,1.238496732026144,1.489676113360324,0.9869281045751634,0.984075573549258,0.005784313725490194,0.006005398110661267,0.0072875816993464015,0.00978407557354926,0,0.0001349527665317139
51,0.004625976497026904,0.005641694302961639,0.5485606308250944,0.5329541372467158,0.7145424836601306,0.99055330634278,0.9944771241830064,0.9897435897435896,0.00310457516339869,0.004655870445344129,0.00241830065359477,0.005533063427800269,0,0.00006747638326585695
52,0.0045155014152874215,0.004883692070982691,0.5492156957425662,0.5405983825243512,0.6890849673202613,0.7406882591093117,0.9951960784313728,0.9941295546558704,0.0019934640522875813,0.002294197031039136,0.002810457516339867,0.00350877192982456,0,0.00006747638326585695
