dayinweek,Female Mean Activity (g),Male Mean Activity (g),Female Asleep (proportion),Male Asleep (proportion),Female Steps (average per min),Male Steps (average per min),Female Sedentary Activity (proportion),Male Sedentary Activity (proportion),Female Light Activity (proportion),Male Light Activity (proportion),Female Moderate Activity (proportion),Male Moderate Activity (proportion),Female Vigorous Activity (proportion),Male Vigorous Activity (proportion)
0,0.03328540261024927,0.03458603106788067,0.2750324600633019,0.28520086867868966,10.79913206322968,10.572788660799516,0.8732188924444643,0.8757605134380594,0.03926761821049776,0.03611823042632306,0.08536943646251177,0.08491479891125474,0.0021440528825246454,0.003206457224362491
1,0.03405548358386482,0.03485234239604781,0.2679240653800301,0.30117412122861154,11.15187281961427,10.560724564898324,0.8687023725112413,0.8726762429813031,0.0398327339468716,0.03631375696472716,0.08910530432799713,0.08701098861481503,0.002359589213892329,0.003999011439155956
2,0.03284312462460542,0.03299207288480316,0.29189796397311696,0.3093624142452818,10.49740964619667,9.754313530810805,0.874018399814712,0.8824080694787304,0.03967721889155434,0.03493483865782858,0.08343604321137986,0.07944344430335183,0.002868338082354296,0.0032136475600917837
3,0.03392518482861733,0.03536471359642948,0.2972764777560041,0.30238316354524414,11.103171496957788,10.67715422939756,0.8681781972572333,0.873024996215101,0.04021398649586757,0.03548505741510419,0.08970015215066847,0.08760816511574909,0.0019076640962310755,0.003881781254050845
4,0.034527971316352914,0.03506980893985433,0.3009491193126225,0.3107550885579924,11.124277872126331,10.592483949616597,0.8617315620315112,0.8686976673871711,0.04422056922977888,0.038356738802257616,0.09186776695421751,0.0901309441099276,0.0021801017844979985,0.0028146497006501583
5,0.030793334785387677,0.031247683018476247,0.31385928212599834,0.33134134357604944,9.539231373186066,9.03280839895013,0.8699466645007662,0.8778433945756924,0.04850281568117888,0.04168033683289607,0.07958360407190898,0.0774496937882767,0.0019669157461555367,0.0030265748031496017
6,0.0276436396142511,0.0286668369320085,0.3184297483356045,0.3240717701065349,8.482779802500442,8.262308617672788,0.88892611015507,0.8910651793525926,0.0423458820662767,0.03819171041119881,0.06737434134381104,0.06849300087489092,0.0013536664348467635,0.00225010936132983
